source	target
MYC	STRA13
MYC	LRRC45
MYC	BMP1
MYC	FAM189B
MYC	ZNF581
MYC	NR1D1
MYC	ZNF580
MYC	GBA
MYC	ZC3H10
MYC	SFTPC
MYC	CCDC106
MYC	RPL41
MYC	RAC3
MYC	ANAPC11
MYC	NFIX
MYC	ALYREF
MYC	LMNB2
MYC	SCAMP3
MYC	ERCC1
MYC	LGI3
MYC	PLEKHN1
MYC	MIR153-1
MYC	PHF1
MYC	GADD45GIP1
MYC	MIR6088
MYC	RPS2
MYC	SNHG9
MYC	SNORA78
MYC	REEP4
MYC	DCXR
MYC	ACD
MYC	PARD6A
MYC	RAD23A
MYC	MSL1
MYC	CUTA
MYC	ZNF784
MYC	DAND5
MYC	ZNF48
MYC	SNORA64
MYC	AMDHD2
MYC	RNF151
MYC	ATP6V0C
MYC	CALR
MYC	MIR6515
MYC	SNORA10
MYC	PA2G4
MYC	SYNGAP1
MYC	NUDT22
MYC	TRPT1
MYC	ZMYND19
MYC	U2AF2
MYC	VEGFB
MYC	CRELD1
MYC	C11orf83
MYC	C11orf48
MYC	DNAJC4
MYC	WDR90
MYC	SNORA57
MYC	PPP1R14B
MYC	METTL12
MYC	LOC102288414
MYC	ZNF524
MYC	NDUFB10
MYC	DNAAF3
MYC	MIR3178
MYC	STIP1
MYC	PTPRN
MYC	FAM195A
MYC	CEMP1
MYC	RUSC1
MYC	CSPG4
MYC	FIZ1
MYC	RHBDF2
MYC	ENO2
MYC	RUSC1-AS1
MYC	PPP1R13L
MYC	MIR7846
MYC	CD3EAP
MYC	TNFRSF1B
MYC	FARSA
MYC	FDPS
MYC	TBL3
MYC	NPB
MYC	FKBP2
MYC	SYT5
MYC	KLHL17
MYC	ESYT1
MYC	LEPROTL1
MYC	ELP5
MYC	CTDNEP1
MYC	RHOT2
MYC	TMEM91
MYC	B9D2
MYC	SPRED3
MYC	GMPR2
MYC	NEDD8-MDP1
MYC	NEDD8
MYC	GALK1
MYC	GGN
MYC	FERMT3
MYC	NOC2L
MYC	CNOT3
MYC	CLK2
MYC	MDP1
MYC	PDXK
MYC	INTS5
MYC	CHMP4A
MYC	UBXN1
MYC	ATN1
MYC	PDPK1
MYC	ZNF865
MYC	PRCD
MYC	ARRDC1
MYC	ZNF771
MYC	PER1
MYC	DAZAP1
MYC	LOC102724467
MYC	AES
MYC	SLC7A5
MYC	MYLPF
MYC	TBC1D10B
MYC	MNT
MYC	ASPSCR1
MYC	TGFB1
MYC	C16orf13
MYC	SEPT1
MYC	SPEG
MYC	RPL10
MYC	ZNF7
MYC	NPAS4
MYC	ELL3
MYC	SERF2
MYC	PRRT3-AS1
MYC	ABHD14A
MYC	ABHD14A-ACY1
MYC	MRPL11
MYC	ABHD14B
MYC	OSM
MYC	COPZ2
MYC	MIR152
MYC	GADD45B
MYC	TBC1D24
MYC	H2AFX
MYC	ENKD1
MYC	CCDC130
MYC	TMEM234
MYC	EIF3I
MYC	DPAGT1
MYC	TMEM167B
MYC	C16orf86
MYC	GANAB
MYC	HDAC5
MYC	SNORA70
MYC	CCAR2
MYC	LOC101929125
MYC	ARHGDIA
MYC	KLF16
MYC	NTN3
MYC	PSMD8
MYC	POLD1
MYC	TIGD5
MYC	MIR1268A
MYC	EEF1D
MYC	DPH7
MYC	ANKZF1
MYC	ATG9A
MYC	PHLDA2
MYC	RNU7-1
MYC	PLCB3
MYC	REXO1
MYC	C12orf57
MYC	SCARNA2
MYC	CHCHD1
MYC	PNPLA7
MYC	PMPCA
MYC	DNAJB2
MYC	SDCCAG3
MYC	MRPL41
MYC	UCKL1
MYC	FUT11
MYC	PGPEP1
MYC	PYCRL
MYC	ARL2
MYC	ARL2-SNX15
MYC	RHBDL1
MYC	GBAP1
MYC	MTA2
MYC	POLRMT
MYC	RPL3L
MYC	ROM1
MYC	EML3
MYC	SLC25A22
MYC	C8orf58
MYC	SFXN3
MYC	STUB1
MYC	IL17RC
MYC	PDZD7
MYC	DTYMK
MYC	UCKL1-AS1
MYC	MRI1
MYC	MTSS1L
MYC	GAMT
MYC	TMEM66
MYC	PERM1
MYC	CSNK1D
MYC	EMD
MYC	FAM98C
MYC	HCN3
MYC	PCYT2
MYC	CDC25B
MYC	ST3GAL2
MYC	ARL16
MYC	HGS
MYC	TNNI3
MYC	SLC22A18AS
MYC	LAMTOR4
MYC	DNAJB1
MYC	CD2BP2
MYC	MED15
MYC	C19orf53
MYC	TUT1
MYC	INPP5F
MYC	ZSWIM8
MYC	RNF126
MYC	KLHDC4
MYC	SLC22A18
MYC	ACY1
MYC	ZNF512B
MYC	H3F3B
MYC	COASY
MYC	HMBS
MYC	PTPN6
MYC	B3GAT3
MYC	SNAPC4
MYC	TMEM132A
MYC	RLTPR
MYC	CYGB
MYC	NOTUM
MYC	CCDC159
MYC	TMEM205
MYC	TSTA3
MYC	RPLP2
MYC	ICAM1
MYC	LRRN4CL
MYC	TSSK4
MYC	ABCB6
MYC	RFNG
MYC	GPS1
MYC	RMI2
MYC	PIN1
MYC	MLX
MYC	MAP2K3
MYC	PIDD1
MYC	TLCD1
MYC	ARPC4-TTLL3
MYC	ARPC4
MYC	GIT1
MYC	SNORA52
MYC	SIRPA
MYC	TADA3
MYC	WFIKKN1
MYC	THAP4
MYC	CIZ1
MYC	KIFC1
MYC	ZNF629
MYC	ATG4B
MYC	FUK
MYC	LRRC23
MYC	TM9SF1
MYC	NFE2L1
MYC	MOB3A
MYC	HOMER3
MYC	FOSB
MYC	VAMP2
MYC	EEF1G
MYC	SPAG7
MYC	PKLR
MYC	SLC27A5
MYC	JMJD8
MYC	MOGS
MYC	PCBP4
MYC	RPL13P5
MYC	USP21
MYC	IQCC
MYC	DSTNP2
MYC	DNASE1L1
MYC	NR1H2
MYC	LIF
MYC	HDDC3
MYC	PRSS27
MYC	SNORD4B
MYC	IZUMO4
MYC	SNORD42A
MYC	PIEZO1
MYC	TAZ
MYC	NOL3
MYC	NEK8
MYC	MIR6768
MYC	TUSC2
MYC	MIR6864
MYC	RNU6-23P
MYC	COMMD5
MYC	SNORD4A
